Temperature (i),Weight (i),Elevation (i),Runway (o),Cutoff Weight,Cutoff Runway,,,,,,,
15,174,0,7800,134,12500,,,,,,,
15,164,0,6500,141,12600,,,,,,,
15,154,0,5800,151,13200,,,,,,,
15,144,0,5100,157,14800,,,,,,,
15,174,2000,8500,,,,,,,,,
15,164,2000,7600,,,,,,,,,
15,154,2000,6300,,,,,,,,,
15,144,2000,5600,,,,,,,,,
15,174,4000,11500,,,,,,,,,
15,170,4000,10000,,,,,,,,,
15,167,4000,9500,,,,,,,,,
15,164,4000,8700,,,,,,,,,
15,160,4000,8300,,,,,,,,,
15,154,4000,7600,,,,,,,,,
15,144,4000,6300,,,,,,,,,
30,174,0,8100,,,,,,,,,
30,170,0,7700,,,,,,,,,
30,164,0,6900,,,,,,,,,
30,154,0,6100,,,,,,,,,
30,144,0,5400,,,,,,,,,
30,174,2000,9100,,,,,,,,,
30,170,2000,8600,,,,,,,,,
30,164,2000,8100,,,,,,,,,
30,154,2000,6700,,,,,,,,,
30,144,2000,6000,,,,,,,,,
30,174,4000,13300,,,,,,,,,
30,172,4000,11300,,,,,,,,,
30,170,4000,10600,,,,,,,,,
30,167,4000,9700,,,,,,,,,
30,164,4000,9200,,,,,,,,,
30,160,4000,8700,,,,,,,,,
30,154,4000,8000,,,,,,,,,
30,144,4000,6700,,,,,,,,,
40,174,0,9800,,,,,,,,,
40,170,0,8700,,,,,,,,,
40,164,0,8200,,,,,,,,,
40,157,0,7400,,,,,,,,,
40,154,0,7000,,,,,,,,,
40,144,0,6000,,,,,,,,,
40,174,2000,13200,,,,,,,,,
40,172,2000,10600,,,,,,,,,
40,167,2000,9700,,,,,,,,,
40,164,2000,9000,,,,,,,,,
40,160,2000,8600,,,,,,,,,
40,154,2000,7900,,,,,,,,,
40,144,2000,6500,,,,,,,,,
40,167,4000,13700,,,,,,,,,
40,164,4000,11000,,,,,,,,,
40,160,4000,9700,,,,,,,,,
40,154,4000,8800,,,,,,,,,
40,144,4000,7400,,,,,,,,,
50,168,0,15000,,,,,,,,,
50,166,0,11200,,,,,,,,,
50,164,0,10800,,,,,,,,,
50,160,0,9800,,,,,,,,,
50,154,0,8300,,,,,,,,,
50,150,0,7700,,,,,,,,,
50,144,0,7200,,,,,,,,,
50,163,0,15000,,,,,,,,,
50,161,0,11400,,,,,,,,,
50,154,2000,11400,,,,,,,,,
50,151,2000,9600,,,,,,,,,
50,144,2000,8700,,,,,,,,,
50,158,4000,14500,,,,,,,,,
50,156,4000,11800,,,,,,,,,
50,154,4000,11500,,,,,,,,,
50,145,4000,8800,,,,,,,,,
50,144,4000,8600,,,,,,,,,
