Temperature,Weight,Elevation,Runway,Cutoff Weight,Cutoff Runway,Max OEW + Payload,Range (nm)
15,189,0,14700,188,14700,174,2200
15,188,0,14000,182,14800,161,3300
15,187,0,13000,181,14700,133,4100
15,186,0,12000,178,14700,,
15,185,0,11000,170,14700,,
15,184,0,10000,,,,
15,182,0,9000,,,,
15,179,0,8000,,,,
15,173,0,7000,,,,
15,164,0,6000,,,,
15,152,0,5000,,,,
15,139,0,4000,,,,
15,187,2000,14800,,,,
15,185,2000,14000,,,,
15,184,2000,13000,,,,
15,183,2000,12000,,,,
15,182,2000,11000,,,,
15,181,2000,10000,,,,
15,178,2000,9000,,,,
15,175,2000,8000,,,,
15,168,2000,7000,,,,
15,158,2000,6000,,,,
15,146,2000,5000,,,,
15,132,2000,4000,,,,
15,184,4000,14700,,,,
15,183,4000,14000,,,,
15,182,4000,13000,,,,
15,181,4000,12000,,,,
15,180,4000,11000,,,,
15,179,4000,10000,,,,
15,176,4000,9000,,,,
15,171,4000,8000,,,,
15,162,4000,7000,,,,
15,152,4000,6000,,,,
15,141,4000,5000,,,,
15,129,4000,4000,,,,
30,188,0,14700,,,,
30,187,0,14000,,,,
30,186,0,13000,,,,
30,185,0,12000,,,,
30,184,0,11000,,,,
30,182,0,10000,,,,
30,180,0,9000,,,,
30,175,0,8000,,,,
30,169,0,7000,,,,
30,159,0,6000,,,,
30,147,0,5000,,,,
30,132,0,4000,,,,
30,182,2000,14700,,,,
30,181,2000,14000,,,,
30,180,2000,13000,,,,
30,179,2000,12000,,,,
30,178,2000,11000,,,,
30,177,2000,10000,,,,
30,175,2000,9000,,,,
30,170,2000,8000,,,,
30,164,2000,7000,,,,
30,154,2000,6000,,,,
30,141,2000,5000,,,,
30,128,2000,4000,,,,
30,181,4000,14700,,,,
30,180,4000,14000,,,,
30,179,4000,13000,,,,
30,178,4000,12000,,,,
30,177,4000,11000,,,,
30,176,4000,10000,,,,
30,173,4000,9000,,,,
30,168,4000,8000,,,,
30,160,4000,7000,,,,
30,150,4000,6000,,,,
30,138,4000,5000,,,,
30,120,4000,4000,,,,
38,182,0,14700,,,,
38,181,0,14000,,,,
38,180,0,13000,,,,
38,179,0,12000,,,,
38,178,0,11000,,,,
38,177,0,10000,,,,
38,175,0,9000,,,,
38,170,0,8000,,,,
38,164,0,7000,,,,
38,154,0,6000,,,,
38,141,0,5000,,,,
38,128,0,4000,,,,
38,181,2000,14700,,,,
38,180,2000,14000,,,,
38,179,2000,13000,,,,
38,178,2000,12000,,,,
38,177,2000,11000,,,,
38,176,2000,10000,,,,
38,173,2000,9000,,,,
38,168,2000,8000,,,,
38,160,2000,7000,,,,
38,150,2000,6000,,,,
38,138,2000,5000,,,,
38,120,2000,4000,,,,
38,178,4000,14700,,,,
38,177,4000,14000,,,,
38,175,4000,13000,,,,
38,174,4000,12000,,,,
38,173,4000,11000,,,,
38,172,4000,10000,,,,
38,169,4000,9000,,,,
38,163,4000,8000,,,,
38,156,4000,7000,,,,
38,146,4000,6000,,,,
38,134,4000,5000,,,,
38,107,4000,4000,,,,
46,181,0,14700,,,,
46,180,0,14000,,,,
46,179,0,13000,,,,
46,178,0,12000,,,,
46,177,0,11000,,,,
46,176,0,10000,,,,
46,173,0,9000,,,,
46,168,0,8000,,,,
46,160,0,7000,,,,
46,150,0,6000,,,,
46,138,0,5000,,,,
46,120,0,4000,,,,
46,178,2000,14700,,,,
46,177,2000,14000,,,,
46,175,2000,13000,,,,
46,174,2000,12000,,,,
46,173,2000,11000,,,,
46,172,2000,10000,,,,
46,169,2000,9000,,,,
46,163,2000,8000,,,,
46,156,2000,7000,,,,
46,146,2000,6000,,,,
46,134,2000,5000,,,,
46,107,2000,4000,,,,
46,170,4000,14700,,,,
46,169,4000,14000,,,,
46,167,4000,13000,,,,
46,166,4000,12000,,,,
46,165,4000,11000,,,,
46,164,4000,10000,,,,
46,161,4000,9000,,,,
46,155,4000,8000,,,,
46,147,4000,7000,,,,
46,138,4000,6000,,,,
46,125,4000,5000,,,,
46,100,4000,4100,,,,
54,178,0,14700,,,,
54,177,0,14000,,,,
54,175,0,13000,,,,
54,174,0,12000,,,,
54,173,0,11000,,,,
54,172,0,10000,,,,
54,169,0,9000,,,,
54,163,0,8000,,,,
54,156,0,7000,,,,
54,146,0,6000,,,,
54,134,0,5000,,,,
54,107,0,4000,,,,
